,humidity,temp,winddir,sealevelpressure,precip
327,64.8,25.3,10.3,1012.1,0.0
328,70.5,24.6,29.2,1012.5,0.0
329,70.6,23.9,27.1,1012.9,0.0
330,71.8,23.1,347.8,1013.8,0.0
331,73.2,23.1,342.9,1014.3,0.0
332,69.1,23.2,0.1,1014.2,0.0
333,70.2,23.3,359.6,1013.9,0.0
334,70.2,23.3,351.9,1013.4,0.0
335,69.7,23.8,349.4,1013.1,0.0
336,73.9,23.6,26.9,1014.1,0.0
337,86.2,22.2,17.5,1014.1,1.732
338,90.4,21.7,35.8,1013.7,31.051
339,92.2,22.2,33.2,1011.2,63.257
340,89.8,23.1,347.5,1013.0,0.0
341,86.5,23.2,29.3,1015.1,0.005
342,84.6,23.0,13.0,1016.9,2.61
343,78.7,23.1,5.9,1016.4,0.0
344,80.3,23.2,16.0,1016.4,0.0
345,74.5,21.5,8.0,1017.4,0.0
346,69.4,20.8,352.9,1016.2,0.0
347,71.0,20.4,347.4,1015.0,0.0
348,70.1,20.0,328.7,1014.7,0.0
349,77.4,19.5,329.8,1015.4,0.0
350,70.8,19.8,334.3,1015.1,0.0
351,77.9,19.9,345.2,1014.6,0.0
352,66.9,18.4,333.4,1016.2,0.0
353,58.2,17.0,315.7,1016.1,0.0
354,71.8,17.6,288.1,1014.4,0.0
355,73.5,19.0,299.7,1012.9,0.0
356,77.5,18.9,328.3,1013.2,0.0
357,78.0,19.6,30.1,1013.6,0.0
358,77.9,20.2,88.0,1014.2,0.0
359,82.0,21.0,73.0,1015.9,0.0
360,83.5,21.3,35.7,1017.0,0.0
361,79.9,21.1,49.0,1016.4,0.0
362,81.4,20.7,36.9,1016.5,0.0
363,88.3,19.4,344.7,1018.9,0.988
364,82.2,19.7,350.6,1019.4,0.0
365,79.3,19.1,343.4,1018.6,0.0
366,82.3,17.9,336.3,1017.3,0.0
367,77.6,18.4,352.0,1015.9,0.0
368,78.0,17.6,357.8,1016.6,0.0
369,75.7,17.9,345.0,1015.8,0.0
370,73.7,19.1,345.5,1015.2,0.0
371,77.5,20.2,358.4,1015.9,0.0
372,73.4,21.3,7.8,1015.7,0.0
373,79.6,21.4,25.9,1013.7,0.0
374,79.6,21.6,17.2,1014.5,0.0
375,82.6,22.2,346.9,1014.5,11.491
376,89.1,19.5,351.0,1014.4,0.006
377,87.2,20.7,351.1,1014.9,0.487
378,86.2,18.9,19.6,1015.4,0.54
379,81.9,19.2,351.2,1015.5,0.002
380,76.0,18.3,341.8,1017.2,0.0
381,78.3,17.9,331.2,1017.6,0.0
382,75.4,18.2,318.4,1015.1,0.0
383,78.7,18.2,322.0,1013.0,0.0
384,74.2,17.7,336.0,1011.2,0.0
385,83.2,19.4,44.9,1010.8,0.0
386,88.2,19.8,82.0,1009.6,1.004
387,91.5,19.2,46.8,1010.4,4.884
388,86.0,18.8,51.3,1010.5,0.0
389,87.0,20.8,225.4,1011.1,0.0
390,82.1,20.7,350.6,1011.9,0.012
391,74.9,19.6,358.0,1013.5,0.0
392,67.6,16.9,340.6,1015.5,0.0
393,70.4,16.6,343.9,1015.1,0.0
394,67.8,17.7,270.3,1012.3,0.0
395,77.4,19.9,188.1,1011.2,0.0
396,74.1,21.1,256.7,1009.4,0.0
397,74.9,21.9,145.5,1011.6,0.0
398,83.2,22.8,190.1,1011.3,0.0
399,92.3,19.3,97.7,1009.1,27.562
400,74.2,19.3,315.2,1011.5,0.0
401,69.8,18.1,326.5,1015.4,0.0
402,75.2,19.0,341.0,1014.8,0.0
403,78.3,20.2,27.2,1013.7,0.0
404,82.6,21.4,138.9,1014.0,0.0
405,90.6,20.4,81.5,1013.2,0.162
406,81.9,20.1,349.6,1013.5,0.0
407,65.1,19.3,343.8,1013.8,0.0
408,64.8,19.5,344.3,1012.4,0.0
409,61.6,20.0,348.6,1012.0,0.0
410,65.1,20.0,344.2,1011.2,0.0
411,65.1,20.5,340.4,1009.5,0.0
412,66.2,21.7,347.9,1009.4,0.0
413,62.5,21.9,10.0,1011.2,0.0
414,60.8,22.0,331.6,1011.4,0.0
415,82.4,22.5,205.0,1007.7,0.0
416,66.8,22.6,233.1,1008.4,0.0
417,75.7,23.4,174.2,1012.6,0.0
418,75.9,23.7,271.9,1015.2,0.0
